run,blast_duration,blast_count,yellow,blue,red,row,column,,,,
1,0.1,1,84.22,0,0,1,1,,,,
1,0.1,1,38.63,6.19,0.21,1,2,,,,
1,0.1,1,58.31,0,0,1,3,,,,
1,0.1,1,10.42,39.31,0,2,1,,,,
1,0.1,1,7.05,73.81,0.83,2,2,,,,
1,0.1,1,2.26,74.24,0.1,2,3,,,,
1,0.1,1,0.63,0.8,39.81,3,1,,,,
1,0.1,1,0.49,5.26,79.66,3,2,,,,
1,0.1,1,0,2,90.03,3,3,,,,
2,0.1,1,85.13,0.78,0,1,1,,,,
2,0.1,1,51.09,14.18,0.31,1,2,,,,
2,0.1,1,61.91,0.03,0,1,3,,,, 
2,0.1,1,0.12,82.28,0.1,2,1,,,,
2,0.1,1,0.03,55.05,12.54,2,2,,,,
2,0.1,1,3.27,30.48,4.83,2,3,,,,
2,0.1,1,0,0,62.34,3,1,,,,
2,0.1,1,0,0.2,80.09,3,2,,,,
2,0.1,1,0.12,1.04,50.36,3,3,,,,
1,0.1,2,65.2,0.87,0,1,1,,,,
1,0.1,2,27.16,21.9,4.56,1,2,,,,
1,0.1,2,100.68,1.48,0.24,1,3,,,,
1,0.1,2,3.94,76.64,0,2,1,,,,
1,0.1,2,0.4,22.88,9.33,2,2,,,,
1,0.1,2,3.6,57.32,0.9,2,3,,,,
1,0.1,2,0.26,2.16,100.97,3,1,,,,
1,0.1,2,0.28,5.01,53.7,3,2,,,,
1,0.1,2,0.03,12.95,40.79,3,3,,,,
2,0.1,2,81.4,0.14,0,1,1,,,,
2,0.1,2,69.62,27.63,3.13,1,2,,,,
2,0.1,2,35.49,3.53,0.03,1,3,,,,
2,0.1,2,10.24,48.01,12.91,2,1,,,,
2,0.1,2,1.36,64.47,3.2,2,2,,,,
2,0.1,2,1.24,50.7,4.31,2,3,,,,
2,0.1,2,0.85,2.79,56.54,3,1,,,,
2,0.1,2,1.38,1.35,72.74,3,2,,,,
2,0.1,2,0.03,2.74,57.31,3,3,,,,
1,0.1,3,62.13,4.51,0.67,1,1,,,,
1,0.1,3,26.21,20.91,8.64,1,2,,,,
1,0.1,3,64.08,14.29,1.33,1,3,,,,
1,0.1,3,25.64,73.78,6.12,2,1,,,,
1,0.1,3,17.51,43.63,14.54,2,2,,,,
1,0.1,3,1.75,31.44,3.23,2,3,,,,
1,0.1,3,0.74,3.26,56.55,3,1,,,,
1,0.1,3,3.55,6.7,51.57,3,2,,,,
1,0.1,3,0.03,2.33,64.61,3,3,,,,
2,0.1,3,56.45,2.28,0.46,1,1,,,,
2,0.1,3,37.33,23.19,9.19,1,2,,,,
2,0.1,3,34.81,9.2,1.84,1,3,,,,
2,0.1,3,45.34,64.91,1.91,2,1,,,,
2,0.1,3,10.2,35.42,17.01,2,2,,,,
2,0.1,3,15.56,43.88,0.81,2,3,,,,
2,0.1,3,1.12,6.7,75.82,3,1,,,,
2,0.1,3,0.5,2.96,70.05,3,2,,,,
2,0.1,3,0.4,12.49,33.13,3,3,,,,